 	160
©	169
­	173
®	174
¯	175
²	178 2
³	179	3
µ	181
·	183
¹	185	1
¼	188
½	189
À	192	A
Á	193	A
Â	194	A
Ä	196	A
Å	197	A
Ç	199	C
É	201	E
Í	205	I
Î	206	I
Ô	212	O
Õ	213	O
Ö	214	O
Ü	220	U
ß	223
à	224	a
á	225	a
â	226	a
ã	227	a
ä	228	a
å	229	a
æ	230	ae
ç	231	c
è	232	e
é	233	e
ê	234	e
ë	235	e
ì	236	i
í	237	i
î	238	i
ï	239	i
ð	240
ñ	241	n
ò	242	o
ó	243	o
ô	244	o
õ	245	o
ö	246	o
ø	248
ù	249	u
ú	250	u
û	251	u
ü	252	u
ý	253	y
ÿ	255	y
Ā	256	A
ā	257	a
ă	259	a
ą	261	a
ć	263	c
Č	268	C
č	269	c
Ē	274	E
ē	275	e
ę	281	e
ě	283	e
Ī	298	I
ī	299	i
Ĳ	306	I
Ł	321	L
ł	322	l
ń	324	n
ň	328	n
Ō	332	O
ō	333	o
ŏ	335	o
ő	337	o
Œ	338	OE
œ	339	oe
ř	345	r
Ś	346	S
ś	347	s
ş	351	s
Š	352	S
š	353	s
Ū	362	U
ū	363	u
ŭ	365	u
ů	367	u
ź	378	z
ž	382	z
ơ	417
ư	432
ǎ	462	a
ǐ	464	i
ǒ	466	o
ǔ	468	u
ɕ	597
ɾ	638
ʃ	643
ʏ	655
ʑ	657
˘	728
˚	730
˝	733
̄	772
ς	962
Ḍ	7692
ḍ	7693
Ḥ	7716
ḥ	7717
ṃ	7747
ṇ	7751
ṣ	7779
ạ	7841
ầ	7847
ẩ	7849
ễ	7877
ỏ	7887
ố	7889
ữ	7919
 	8202
‑	8209	-
–	8211	-
―	8213
‚	8218
‛	8219
„	8222    ""
•	8226
 	8239
‴	8244
›	8250
⁄	8260    /
⁰	8304    0
⁴	8308    4
⁵	8309    5
⁶	8310    6
⁷	8311    7
⁸	8312    8
⁹	8313    9
⁻	8315    -
₀	8320    0
₁	8321    1
₂	8322    2
₃	8323    3
₄	8324    4
₅	8325    5
₆	8326    6
₇	8327    7
₈	8328    8
₉	8329    9
ℂ	8450    C
ℕ	8469    N
ℚ	8474    Q
ℝ	8477    R
ℤ	8484    Z
⅕	8533    1/3
►	9658
◀	9664
☞	9758
☰	9776
☱	9777
☲	9778
☴	9780
☵	9781
☷	9783
♠	9824
♤	9828
♨	9832
♩	9833
♮	9838
⚊	9866
⚋	9867
⸢	11810	´
⸣	11811	`
⺕	11925
⺘	11928
⺡	11937
⺩	11945
⺮	11950
⾡	12193
〄	12292
〖	12310
〗	12311
〠	12320
〳	12339
〵	12341
〶	12342
〻	12347
〽	12349
ゔ	12436   う゛
゚	12442
㆑	12689
㈱	12849   株
㈲	12850   有
㈶	12854   財
㈹	12857   代
㊑	12945   株
㊒	12946   有
㊖	12950   財
㊙	12953   秘
㍿	13183
㎖	13206
㐂	13314
㓁	13505
䟽	18429
乄	20036
亻	20155
仾	20222
仿	20223
佪	20330
佬	20332
倐	20496
倢	20514
倻	20539
儃	20739
儛	20763
儵	20789
刂	20994
刖	21014
剕	21077
剝	21085
劓	21139
卐	21328
厴	21428
吞	21534
呍	21581
咜	21660
唎	21774
啞	21854
喑	21905
嗉	21961
嘈	22024
噓	22099
噦	22118
噯	22127
嚙	22169
囊	22218
圊	22282
圳	22323
坷	22391
垗	22423
垜	22428
埵	22517
塡	22625
塼	22652
墎	22670
壔	22740
壠	22752
姧	23015
姬	23020
孒	23378
孼	23420
孽	23421
尫	23595
屛	23643
屢	23650
屧	23655
嶹	23993
幷	24183
弣	24355
弽	24381
彅	24389
彇	24391
彐	24400
徧	24487
忄	24516
忩	24553
忼	24572
慠	24928
挍	25357
挵	25397
捥	25445
搐	25616
搔	25620
搢	25634
摑	25681
摹	25721
撿	25791
擤	25828
攙	25881
攩	25897
敎	25934
晅	26181
晳	26227
晷	26231
暍	26253
暲	26290
杮	26478
枘	26520
枲	26546
柹	26617
桗	26711
桛	26715
桵	26741
梂	26754
梲	26802
梻	26811
棓	26835
棰	26864
楤	26980
榍	27021
榖	27030
榨	27048
槵	27125
樁	27137
樏	27151
橅	27205
橉	27209
檞	27294
檫	27307
櫧	27367
櫱	27377
欙	27417
欛	27419
欵	27445
殮	27566
毗	27607
氵	27701
氿	27711
汶	27766
沪	27818
洄	27908
洎	27918
洱	27953
潑	28497
潽	28541
瀆	28678
瀨	28712
灤	28772
炷	28855
炻	28859
烤	28900
焮	28974
焰	28976
煆	28998
煠	29024
熅	29061
熒	29074
牓	29267
犭	29357
猨	29480
猬	29484
猽	29501
獐	29520
獦	29542
玆	29574
玦	29606
珉	29641
珧	29671
琰	29744
璫	29867
瓈	29896
畯	30063
疒	30098
痎	30158
痤	30180
痧	30183
瘖	30230
瘦	30246
瘭	30253
癎	30286
癤	30308
癭	30317
皶	30390
眴	30516
睺	30586
矠	30688
矬	30700
硨	30824
磲	30962
礻	31035
祛	31067
祜	31068
禱	31153
秫	31211
稭	31277
稹	31289
窠	31392
笧	31527
筟	31583
箶	31670
簁	31745
簄	31748
簎	31758
簏	31759
簞	31774
簳	31795
簶	31798
籙	31833
籹	31865
粔	31892
粵	31925
糗	31959
糝	31965
紇	32007
縕	32277
繒	32338
繡	32353
繫	32363
罒	32594
翎	32718
胳	33011
胶	33014
脰	33072
腊	33098
腭	33133
膲	33202
膻	33211
臏	33231
臗	33239
舃	33283
艉	33353
艹	33401
芰	33456
茛	33563
荑	33617
荔	33620
荽	33661
菡	33761
萏	33807
葇	33863
葈	33864
蒾	33982
蔞	34078
蔣	34083
蔲	34098
蕙	34137
蕹	34169
蕺	34170
薰	34224
蘘	34328
蘞	34334
蘩	34345
蚉	34441
蛁	34497
蛺	34554
蛼	34556
蜐	34576
蜓	34579
蜱	34609
蜹	34617
蜺	34618
蝘	34648
蝥	34661
蝲	34674
螈	34696
螋	34699
螕	34709
螘	34712
蟎	34766
蟖	34774
蟟	34783
蟬	34796
蠁	34817
蠆	34822
蠊	34826
蠟	34847
蠼	34876
袪	34986
裑	35025
裱	35057
褚	35098
訁	35329
說	35498
誷	35511
豇	35911
貛	35995
賾	36094
贛	36123
跀	36288
跆	36294
跗	36311
踠	36384
蹳	36467
躻	36539
軀	36544
轔	36692
辦	36774
辵	36789
辶	36790
逬	36908
邌	37004
邕	37013
鄉	37129
鄧	37159
酡	37217
醅	37253
醞	37278
醬	37292
醶	37302
鈸	37432
鈹	37433
鉏	37455
鉧	37479
銲	37554
鋙	37593
錀	37632
鏁	37825
鏽	37885
鐁	37889
鐖	37910
鑣	37987
閒	38290
閦	38310
阝	38429
阳	38451
雞	38622
靏	38735
靛	38747
韛	38875
韝	38877
頰	38960
顖	38998
顗	38999
顚	39002
顬	39020
颺	39098
驒	39506
骶	39606
髁	39617
髕	39637
髙	39641
髥	39653
鬠	39712
魞	39774
魣	39779
魦	39782
魬	39788
魳	39795
魶	39798
鮊	39818
鮏	39823
鮞	39838
鮸	39864
鯯	39919
鯳	39923
鯽	39933
鰖	39958
鰙	39961
鰧	39975
鰶	39990
鱏	40015
鱓	40019
鱝	40029
鱪	40042
鱮	40046
鱰	40048
鱲	40050
鱵	40053
鵂	40258
鵇	40263
鵟	40287
鵥	40293
鵼	40316
鶍	40333
鷉	40393
鷗	40407
鷚	40410
鸄	40452
鸊	40458
鹼	40572
麇	40583
麞	40606
麨	40616
麬	40620
麴	40628
麵	40629
麽	40637
黑	40657
黿	40703
鼉	40713
鼯	40751
鼹	40761
鼺	40762
齗	40791
﨑	64017
艹	64093
艹	64094
褐	64096
辶	64102
﻿	65279
－	65293   -
～	65374   ~
￨	65512
￼	65532
𝄇	119047
𠮟	134047
𣏕	144341
𥝱	153457
𧿹	163833
𩸽	171581
𫠍	178189
